DATE,SDY
2011-01-31,52.165
2011-02-01,52.655
2011-02-02,52.455
2011-02-03,52.65
2011-02-04,52.75
2011-02-07,52.95
2011-02-08,53.18000000000001
2011-02-09,53.11
2011-02-10,53.315
2011-02-11,53.685
2011-02-14,53.46
2011-02-15,53.42
2011-02-16,53.675
2011-02-17,53.835
2011-02-18,54.18
2011-02-22,53.52
2011-02-23,53.18
2011-02-24,52.89
2011-02-25,53.445
2011-02-28,53.97
2011-03-01,53.215
2011-03-02,53.43
2011-03-03,54.22
2011-03-04,53.85
2011-03-07,53.48
2011-03-08,53.95
2011-03-09,54.02500000000001
2011-03-10,53.285
2011-03-11,53.47
2011-03-14,53.13500000000001
2011-03-15,52.665
2011-03-16,52.01000000000001
2011-03-17,52.365
2011-03-18,52.465
2011-03-21,53.085
2011-03-22,52.985
2011-03-23,52.875
2011-03-24,53.215
2011-03-25,53.465
2011-03-28,53.290000000000006
2011-03-29,53.645
2011-03-30,54.13500000000001
2011-03-31,54.16
2011-04-01,54.41
2011-04-04,54.515
2011-04-05,54.49
2011-04-06,54.635
2011-04-07,54.46
2011-04-08,54.085
2011-04-11,54.045
2011-04-12,53.61
2011-04-13,53.51
2011-04-14,53.825
2011-04-15,54.19499999999999
2011-04-18,53.52500000000001
2011-04-19,53.88
2011-04-20,54.64
2011-04-21,54.52500000000001
2011-04-25,54.375
2011-04-26,54.92
2011-04-27,55.27
2011-04-28,55.465
2011-04-29,55.52
2011-05-02,55.455
2011-05-03,55.15
2011-05-04,54.97
2011-05-05,54.7
2011-05-06,54.76
2011-05-09,55.035
2011-05-10,55.455
2011-05-11,55.045
2011-05-12,55.63
2011-05-13,55.205
2011-05-16,54.99
2011-05-17,55.005
2011-05-18,55.425
2011-05-19,55.635
2011-05-20,55.195
2011-05-23,54.8
2011-05-24,54.615
2011-05-25,54.5
2011-05-26,54.75
2011-05-27,54.945
2011-05-31,55.475
2011-06-01,54.205
2011-06-02,53.95
2011-06-03,53.39
2011-06-06,53.115
2011-06-07,53.08
2011-06-08,53.075
2011-06-09,53.25
2011-06-10,52.64
2011-06-13,52.71
2011-06-14,53.36
2011-06-15,52.545
2011-06-16,52.89
2011-06-17,52.685
2011-06-20,53.09
2011-06-21,53.575
2011-06-22,53.19
2011-06-23,52.915000000000006
2011-06-24,52.7
2011-06-27,52.845
2011-06-28,53.325
2011-06-29,53.75
2011-06-30,54.035
2011-07-01,54.735
2011-07-05,54.735
2011-07-06,54.89
2011-07-07,55.405
2011-07-08,54.95
2011-07-11,54.27
2011-07-12,54.145
2011-07-13,54.21
2011-07-14,53.795
2011-07-15,54.16
2011-07-18,53.64
2011-07-19,54.125
2011-07-20,53.935
2011-07-21,54.625
2011-07-22,54.41
2011-07-25,54.095
2011-07-26,53.61
2011-07-27,52.655
2011-07-28,52.555
2011-07-29,52.265
2011-08-01,51.825
2011-08-02,50.875
2011-08-03,51.055
2011-08-04,49.375
2011-08-05,49.125
2011-08-08,46.705
2011-08-09,48.38
2011-08-10,46.98
2011-08-11,49.01000000000001
2011-08-12,49.1
